word,joke
Watermelon,"You go at red, but stop at green. What am I?"
Candle,"I’m tall when I’m young, and I’m short when I’m old. What am I?"
Coin,"I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?"
A bar of soap,"I help you from your head to your toe. The more I work, the smaller I grow. What am I?"
Clouds,"I can fly but have no wings. I can cry but I have no eyes. Wherever I go, darkness follows me. What am I?"
Tooth,"I’m (usually) white and used for cutting and grinding. When I’m damaged, humans usually remove me or fill me. For most animals I am a useful tool. What am I?"
Barber,"I shave every day, but my beard stays the same. What am I?"
Dictionary,"I’m where yesterday follows today and tomorrow is in the middle. What am I?"
Mercury,"I’m a god, a planet, and I measure heat. What am I?"
A cold,"I can never be thrown but I can be caught. Ways to lose me are always being sought. What am I?"
Bank,"I have branches, but no fruit, trunk or leaves. What am I?"
Pea,"A seed with three letters in my name. Take away two and I still sound the same. What am I?"
Your voice,"I’m an instrument through which sounds are made, and yet, not something that can be played. What am I?"
Footsteps,"The more you take, the more you leave behind. What am I?"
A comb,"I have many teeth but I can’t bite. I’m often used early but rarely at night. What am I?"
clock,"I have two hands, but I can not scratch myself. What am I?"
e,"I am the beginning of everything, the end of everywhere. I’m the beginning of eternity, the end of time and space. What am I?"
An electric fan,"I can wave my hands at you, but I never say goodbye. You are always cool when with me, even more so when I am high! What am I?"
Secret,"If you have me, you want to share me. If you share me, you haven’t got me. What am I?"
A remark,"What can be heard and caught but never seen?"
Your shadow,"I follow you all the time and copy your every move, but you can’t touch me or catch me. What am I?"
Water,"Always in you, Sometimes on you; If I surround you, I can kill you. What am I?"
Candle,"My life can be measured in hours, I serve by being devoured. Thin, I am quick. Fat, I am slow. Wind is my foe. What am I?"
Plates and cutlery,"People buy me to eat, but never eat me. What am I?"
Money,"People make me, save me, change me, raise me. What am I?"
A ping-pong ball,"I am served at a table, In gatherings of two or four. Served small, white, and round. You’ll love some, and that’s part of the fun. What am I?"
hole,"The more you take away, the more I become. What am I?"
map,"I have lakes with no water, mountains with no stone, and cities with no buildings. What am I?"
Pencil,"I’m tall when I’m young, I’m short when I’m old. What am I?"
deck of cards,"I have 13 hearts, but no other organs? What am I?"
potato,"I have eyes but I can’t see. I live in the dark until you need me. What am I?"
A joke,"I can be cracked, I can be made. I can be told, I can be played. What am I?"
breath,"What is as light as a feather, yet no person can hold it for long. What am I?"
not,"Forward I am heavy, but backward I am not. What am I?"
echo,"You heard me before, and then again. Afterward, I die, until you call me again. What am I?"
onion,"Take off my skin and I won’t cry, but you will! What am I?"
mirror,"If you drop me I’m sure to crack, but give me a smile and I’ll always smile back. What am I?"
River,"I have a bed but I never sleep. I have a mouth but I never speak. What am I?"
A baby chick in an egg,"I have a little house in which I live all alone. It has no doors or windows, and if I want to go out I must break through the wall. What am I?"
Fire,"I am always hungry and will die if not fed, but whatever I touch will soon turn red. What am I?"
Eye,"I sound like one letter but I’m written with three. I show you things when you look through me. What am I?"
Fire,"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?"
mirror,"I make two people out of one. What am I?"
Age,"I am something people love or hate. I change people's appearances and thoughts. If a person takes care of them self I will go up even higher. To some people, I will fool them. To others, I am a mystery. Some people might want to try and hide me but I will show. No matter how hard people try I will Never go down. What am I?"
blackboard,"I am white when I am dirty, and black when I am clean. What am I?"
Pencil lead,"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?"
Smoke,"I have no feet, no hands, no wings, but I climb to the sky. What am I?"
mirror,"Look in my face, I am somebody; Look in my back, I am nobody. What am I?"
shadow,"I'm as small as an ant, as big as a whale. I'll approach like a breeze but can come like a gale. By some, I get hit, but all have shown fear. I'll dance to the music, though I can't hear. Of names, I have many, of names I have one. I'm as slow as a snail, but from me, you can't run. What am I?"
carpet,"I am a word of six; my first three letters refer to an automobile; my last three letters refer to a household animal; my first four letters is a fish; my whole is found in your room. What am I?"
heart,"You can touch me, You can break me, You should win me if you want to be mine. What am I?"
Love,"I can't be bought, but I can be stolen with a glance. I'm worthless to one, but priceless to two. What am I?"
Time,"Until I am measured I am not known, Yet how you miss me when I have flown. What Am I?"
glove,"Four fingers and a thumb, Yet flesh and blood, I have none. What am I?"
telephone,"You answer me, although I never ask you questions. What am I?"
fence,"I run all around the pasture but never move. What am I?"
Kitten,"I act like a cat, I look like a cat, Yet I am not a cat. What am I?"
towel,"I am wet when drying. What am I?"
Ice,"I am strong enough to smash ships, but I fear the Sun. What am I?"
riddle,"I may be simple, I may be complex; I may have a name, but no gender or sex; I am often a question, or statement as a setup; I tend to have an answer, 'til you find it I won't let up. What am I?"
Dozens,"I am six letters. When you take one away I am twelve. What am I?"
road,"I run in and out of town all day and night. What am I?"

